agr_name;agr_participant;cri_inst_name_all;cri_inst_id;publisher_standard_name;edvarda_participant_id;agr_inst_tag
sage;Universitetet I Stavanger;Helse Stavanger HF - Stavanger universitetssjukehus;1938;SAGE;15551;uis02
sage;Universitetet I Sørøst-Norge;Universitetet i Sørøst-Norge;222;SAGE;15447;usn
sage;Vestlandsforsking;Vestlandsforsking;7484;SAGE;24138;vf
sage;VID Vitenskapelige Høgskole;VID vitenskapelige høgskole;251;SAGE;15557;vid
springer;Diakonhjemmet Sykehus. Medisinsk Bibliotek;Diakonhjemmet sykehus;1990;SpringerNature;15359;diakonsyk
springer;GRID-Arendal;NA;NA;SpringerNature;51025;grid
springer;Handelshøyskolen BI;Handelshøyskolen BI;158;SpringerNature;15353;bi
springer;Havforskningsinstituttet;Havforskningsinstituttet;7431;SpringerNature;15454;imr
springer;Høgskolen I Innlandet;Høgskolen i Innlandet;209;SpringerNature;15428;inn
springer;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;211;SpringerNature;15435;himolde
springer;Høgskolen i Østfold;Høgskolen i Østfold;224;SpringerNature;15443;hioef
springer;Høgskulen i Volda;Høgskulen i Volda;223;SpringerNature;15450;hvo
springer;Høgskulen På Vestlandet;Høgskulen på Vestlandet;203;SpringerNature;15449;hvl
springer;Høyskolen Kristiania - Ernst G Mortensens Stiftelse;Høyskolen Kristiania;1615;SpringerNature;15444;hk
springer;Institutt for energiteknikk;Institutt for energiteknikk;7492;SpringerNature;15451;ife
springer;Meteorologisk institutt;Meteorologisk institutt;7419;SpringerNature;15468;met
springer;MF Vitenskapelig Høyskole For Teologi, Religion Og Samfunn;MF vitenskapelig høyskole for teologi, religion og samfunn;190;SpringerNature;15469;mf
springer;NIBIO;Norsk institutt for bioøkonomi;7677;SpringerNature;15481;nibio
springer;NILU - Stiftelsen Norsk Institutt For Luftforskning;NILU - Norsk institutt for luftforskning;7460;SpringerNature;15488;nilu
springer;Nofima;NOFIMA;7543;SpringerNature;15496;nofima
springer;NORCE Norwegian Research Centre AS;NORCE Norwegian Research Centre AS;2057;SpringerNature;50928;norce
springer;Nord Universitet;Nord universitet;204;SpringerNature;15499;nord
springer;Nordlandsforskning;Nordlandsforskning;7446;SpringerNature;15474;nf
springer;Norges Geotekniske Institutt;Norges Geotekniske Institutt;7452;SpringerNature;15477;ngi
springer;Norges Handelshøyskole;Norges Handelshøyskole;191;SpringerNature;15480;nhh
springer;Norges Idrettshøgskole - Biblioteket;Norges idrettshøgskole;150;SpringerNature;15485;nih
springer;Norges miljø- og biovitenskapelige universitet;Norges miljø- og biovitenskapelige universitet;192;SpringerNature;15493;nmbu
springer;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;SpringerNature;15507;ntnu
springer;Norges teknisk-naturvitenskapelige universitet;St. Olavs Hospital HF;1920;SpringerNature;15507;ntnu02
springer;Norsk institutt for naturforskning;Norsk institutt for naturforskning;7511;SpringerNature;15489;nina
springer;Norsk Institutt For Vannforskning;Norsk institutt for vannforskning;7464;SpringerNature;15491;niva
springer;Norsk Polarinstitutt;Norsk Polarinstitutt;7466;SpringerNature;15502;npolar
springer;NUBU - Nasjonalt utviklingssenter for barn og unge;NA;NA;SpringerNature;51031;nubu
springer;Oslo Nye Høyskole;Oslo Nye Høyskole;1620;SpringerNature;51024;bh
springer;OsloMet - Storbyuniversitetet;OsloMet - storbyuniversitetet;215;SpringerNature;15439;oslomet
springer;SINTEF AS;SINTEF Narvik;6228;SpringerNature;15526;sintef
springer;SINTEF AS;SINTEF AS;7401;SpringerNature;15526;sintef02
springer;SINTEF AS;SINTEF Energi AS;7548;SpringerNature;15526;sintef03
springer;SINTEF AS;SINTEF Ocean;7566;SpringerNature;15526;sintef04
springer;SINTEF AS;SINTEF Manufacturing;7630;SpringerNature;15526;sintef05
springer;Statens Arbeidsmiljøinstitutt;Statens arbeidsmiljøinstitutt;7476;SpringerNature;15537;stami
springer;Statistisk Sentralbyrå;Statistisk sentralbyrå;5932;SpringerNature;15535;ssb
springer;Sykehuset Telemark HF;Sykehuset Telemark HF;1959;SpringerNature;51030;sthf
springer;Sykehuset Østfold;Sykehuset Østfold HF;1983;SpringerNature;15510;ostfsyk
springer;Transportøkonomisk Institutt;Transportøkonomisk institutt;7482;SpringerNature;15544;toei
springer;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;SpringerNature;15550;uio
springer;UiO : Universitetsbiblioteket;Akershus universitetssykehus HF;1972;SpringerNature;15550;uio02
springer;UiO : Universitetsbiblioteket;Oslo universitetssykehus HF;2012;SpringerNature;15550;uio03
springer;UiO : Universitetsbiblioteket;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;SpringerNature;15550;uio04
springer;UiO : Universitetsbiblioteket;Folkehelseinstituttet;7502;SpringerNature;15550;uio05
springer;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;SpringerNature;15552;uit
springer;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;SpringerNature;15552;uit02
springer;Universitetet i Agder;Universitetet i Agder;201;SpringerNature;15548;uia
springer;Universitetet i Bergen;Universitetet i Bergen;184;SpringerNature;15549;uib
springer;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;SpringerNature;15549;uib02
springer;Universitetet I Stavanger;Universitetet i Stavanger;217;SpringerNature;15551;uis
springer;Universitetet I Stavanger;Helse Stavanger HF - Stavanger universitetssjukehus;1938;SpringerNature;15551;uis02
springer;Universitetet I Sørøst-Norge;Universitetet i Sørøst-Norge;222;SpringerNature;15447;usn
springer;Universitetssenteret på Svalbard;Universitetssenteret på Svalbard;195;SpringerNature;15553;unis
springer;Utdanningsdirektoratet;NA;NA;SpringerNature;15546;udir
springer;Vestlandsforsking;Vestlandsforsking;7484;SpringerNature;24138;vf
springer;Vestre Viken HF;Vestre Viken HF;2017;SpringerNature;15559;vvhf
tnf;Arkitektur- og designhøgskolen i Oslo;Arkitektur- og designhøgskolen i Oslo;189;Taylor & Francis;15345;aho
